User ID,Follower Count,Following Count,Account Active Since,Feedback
EA329HF1P,156,"1,720",2024-02-09,I literally cannot stop scrolling. It's 3am and I'm still on Reels.
8Y0423H7T,"17,100","1,407",2021-02-25,The content loop is toxic. You keep scrolling hoping for something good but it never comes.
FMPRYFZMY,"1,097","1,864",2022-12-06,The ASMR and cooking content on Reels is genuinely relaxing and enjoyable
77LDM1VL7,117,456,2021-05-18,Bottom navigation bar keeps changing every update. Please just commit to a layout.
YWGD4X4PZ,"1,663","1,810",2019-03-01,Would genuinely pay for a version that limits my usage because I can't control myself
K8EVBRX8U,465,"1,136",2021-02-10,"My feed used to be inspiring, now it's just dopamine farming content"
FBMENUI3D,443,765,2018-06-16,Why am I seeing ads for things I talked about out loud? It's creepy AND excessive.
GOUIFEZAC,188,627,2018-11-14,My feed is basically a shopping catalog now with some friends' posts sprinkled in
867KBQNXP,"8,118","1,002",2025-07-21,It's all stolen content from TikTok and YouTube Shorts now. Nothing original.
XLRGNJZM3,327,99,2021-12-15,Even suggested posts are basically ads disguised as recommendations now
NZEI3ZRRH,413,"1,924",2020-12-11,There's no curated experience anymore. Just a firehose of random low effort content.
86ZJQ7W7J,"4,099",814,2025-05-19,bro I set an alarm to remind me to stop scrolling. that's how bad it's gotten.
1J55CUK5X,422,480,2018-09-12,"my feed is 40% friends, 30% suggested posts, 30% ads. cool priorities instagram"
LWJOJAFI4,864,"1,983",2025-03-12,I wish there was a way to limit myself because I clearly can't do it alone
BVPXNOJMG,76,"1,840",2016-01-23,I counted 8 ads in my stories queue this morning. Eight. Come on.
CIJJRX3XH,"44,451",444,2020-04-29,My friends and I all agree the content has gotten worse but we're all still here somehow
WB2SEREV3,134,"1,012",2016-03-01,Half my stories feed is literally just ads. It ruins the whole experience.
91IPWH0MX,98,800,2025-11-28,Can we get font size options? The current size doesn't work for everyone.
61IAOIM45,303,"1,724",2017-11-16,Every reel just leads to another one and suddenly it's been 2 hours
UUZPEAL2W,"3,737","1,558",2019-01-19,There's no way to opt out or reduce ad frequency and that's trash
7DYPMLVAK,19,"1,123",2024-03-07,My account got disabled for no reason and support is impossible to reach
1ENNGAY37,475,506,2024-12-10,The unskippable video ads in reels are infuriating. YouTube vibes now.
JUL7W8COF,231,"1,972",2016-06-27,The filters and editing tools have gotten so much better. Love the creative options.
5YZ7VXUQD,"13,735","1,383",2022-11-23,I don't even enjoy the content anymore. I just scroll out of habit.
PGG6N6975,"5,388","1,382",2021-01-15,The colors and contrast on the new update hurt my eyes honestly
2VWMD5TFU,"93,233","1,013",2023-10-28,It's designed to waste your time. The infinite scroll is evil genius honestly.
6WEGGH02W,"12,809","1,991",2018-11-25,The insights dashboard for business accounts is missing important metrics
SXPNNGH8R,"2,408","1,006",2021-01-14,Some of these ads are straight up scams and Instagram doesn't seem to care
2F7GFPPSY,"2,510",689,2025-12-01,The algorithm keeps pulling me back in but the ads are making every session more annoying
8K686QE7A,"64,935","1,107",2019-07-10,The double tap to like animation changed and the old one was better
XVX1BL6F6,872,"1,358",2021-06-03,Can't upload videos longer than 90 seconds on Reels. That limit is too short.
G8ON3W9HX,"4,884","1,060",2023-03-05,The explore page is a black hole. Once you're in you can't get out.
Y6YO8DJE7,149,"1,330",2018-05-11,went from enjoying the app to feeling like I'm being sold to constantly
8CAH3GDHV,"5,971","1,314",2019-12-18,The music library is limited compared to TikTok. Lots of popular songs missing.
6GMDRDSFE,257,"1,071",2017-12-16,I genuinely think Instagram is making my focus worse. Everything feels low quality.
SZ2TVHVWH,"4,079",371,2017-03-15,Really appreciate the mental health and wellbeing features like usage reminders
CAMBHWTGD,244,"1,065",2025-10-06,The app crashes when I try to upload stories with music. Fix your bugs.
VZHWJR64D,"46,573","1,299",2022-01-22,The recommended content is so addictive but also so meaningless at the same time
WF1TQV0R0,439,729,2020-12-05,Dark mode inconsistency between screens is driving me crazy
LSJWS1ZL7,184,"1,231",2021-04-18,The content is so low effort now. Just recycled TikToks and engagement bait everywhere.
SQOI2JVZH,478,997,2024-04-01,Promoted posts from accounts I've never heard of clog my entire feed.
BLWBV2IZS,357,"1,582",2019-12-22,They've made the content addictive enough that you'll tolerate absurd amounts of advertising
FCZWKGUY0,246,"1,468",2023-05-28,My mom asked me if Instagram is free because she sees so many ads now lol
QO09VS9KK,"1,947","1,576",2020-01-29,The profile grid layout looks different and I don't like the new spacing
TNYFM7VH3,239,"1,907",2020-05-27,The ad personalization is either creepily accurate or wildly off. No middle ground.
1XLAXHNOC,216,178,2020-10-05,My productivity has tanked since Reels became a thing. Not even joking.
K31AVPM6D,891,706,2023-01-26,The infinite scroll is bad enough for my productivity. Adding more ads just adds insult to injury.
L91F4X2BF,"18,858","1,785",2021-04-01,The same ad has shown up 15 times today. I don't want your protein powder.
9Q44DVVPG,476,385,2021-08-20,The sheer volume of promoted posts is ruining my daily scroll.
AEN7YJF30,290,"1,292",2022-06-08,Honestly my favorite social media app. Clean design and good content.
WR3S18WK5,377,772,2021-07-01,"I miss when this was a photo sharing app, not a content addiction machine"
MAS41RU08,"3,164","1,346",2021-04-11,this app is literally designed to keep you hooked and it works too well
SN961J88Q,"71,770","1,340",2016-07-30,The sticker and poll features in stories are really fun and engaging
IFSI159I3,"2,437",269,2024-08-23,I wouldn't mind ads if they were actually relevant to my interests
1NTMJSRD9,"42,853",802,2022-08-31,honestly feel like I'm wasting my youth scrolling through this app
AUD9K9TR7,"2,582",922,2023-03-08,I pay attention to maybe 1 out of every 50 ads shown to me. Total waste of everyone's time.
JZE1XTAR0,120,"1,734",2016-07-20,it's giving QVC channel energy with all these product ads nonstop
WFMAX9FKE,224,602,2016-05-17,I've noticed my attention span getting shorter since I started using Reels heavily
25LZSE99F,426,"1,308",2025-07-31,The stories archive feature is like a digital diary. So glad it exists.
S13C9XQYM,7,"1,937",2020-12-09,The notification system is unreliable. I miss DMs and comments all the time.
AZHXDO3GT,204,"1,575",2020-12-21,The font change is terrible. Go back to the old one please.
P9JYQN15I,"3,29,465","1,868",2024-04-20,The remix feature for Reels is creative and fun to use with friends
TFNSGPYNY,159,"1,540",2023-08-06,Group chat features are lacking compared to WhatsApp and Telegram
J0UFO2HOQ,"1,514",511,2017-04-02,The text input field in comments is way too small on my phone
DRFDX89I8,42,285,2025-01-11,Seeing the same 3 dropshipping ads on repeat is making me go insane
7LM2LW7ZR,"11,399",865,2021-08-31,Ad frequency has made me use the app less. Congrats on losing engagement I guess.
QBYG6G04J,415,"1,463",2024-02-01,Even the explore page is flooded with sponsored content. There's no escape.
A4FEJGXAA,150,174,2021-08-17,Reels have turned this into a mindless scrolling machine. No real value anymore.
WPRLPG7GV,"2,869","1,197",2024-04-24,The content quality has dropped so much. It's like a worse version of TikTok.
ABAZD84VF,131,715,2018-02-10,Every second scroll is a sponsored post. The app is basically an ad platform now.
O5XKQR4ZL,450,"1,003",2016-09-19,New update removed the ability to see who viewed my profile. Want it back.
QLGZUI1B0,"9,865",676,2025-02-20,Instagram stories are the best feature on any social media app period
948JU63LX,"27,832",225,2018-12-06,At this point I assume every other post is trying to sell me something.
P34SLQGBU,371,900,2024-05-26,I used to not mind the ads but they've tripled in the last year easily
3OZRBLH74,81,"1,038",2023-01-18,The shadowban thing is real and Instagram pretends it doesn't exist
UJ02GRXPU,343,"1,635",2017-11-07,I've become a zombie just scrolling through reels with no purpose
I0D4DMC2R,"83,740","1,472",2021-06-04,The algorithm figured out that I'll watch anything at 2am and it's exploiting that
LIM06ETCQ,388,"1,220",2019-03-18,The ad targeting used to be decent but now I'm getting random stuff I'd never buy
P9W4J66CN,"33,734",483,2020-01-03,"between influencer sponsored posts and platform ads, authentic content is maybe 20% of my feed"
FGS3JONOU,"6,503",337,2018-10-25,"Why does the app need access to my contacts, location, and microphone to function?"
LAJM3UM94,963,"1,795",2017-03-03,I spend 5+ hours daily just mindlessly scrolling. Need to get my life together.
HVQ9XD8XQ,"3,315","1,900",2016-07-01,Honestly the best app for visual storytelling. Nothing else comes close.
KNHPVRWBR,104,711,2018-05-28,The algorithm knows me better than I know myself and it's terrifying honestly
1IZ4JQI55,253,692,2019-07-07,Ads are starting to look exactly like regular posts on purpose and that's shady
PGN3S2W1I,430,"1,806",2017-06-27,Everything is too rounded now. The old angular design was cleaner.
0I32BUHBC,"18,254","1,668",2022-04-27,"Between the addictive algorithm and the nonstop ads, this app is designed to both hook you and annoy you."
TLT4Q9BC2,263,"1,464",2024-06-10,the amount of ads makes the app feel cheap and desperate for revenue
N5MRDPMBY,597,725,2025-07-24,My small business has grown so much thanks to Instagram. Genuinely grateful.
ZRR45ED5G,173,593,2025-12-22,I report misleading ads constantly but keep seeing them. What's the point?
4EY9JVB6H,"3,304",147,2025-02-13,My archive keeps losing saved posts randomly. Really frustrating.
UNWCGBSVK,"12,658","1,654",2023-08-14,I go on to check messages and next thing I know I've watched 200 reels
BJDX0PKOV,"1,089",425,2023-08-16,The way Instagram handles group chats is better than most messaging apps
RBT4OBKS3,"16,709","1,817",2021-07-12,I actually learn a lot from educational creators on here. Not all content is bad.
H207X887L,22,"1,254",2016-06-26,They've clearly prioritized ad revenue over user experience this year
6MM1ZXYVG,"10,398","1,085",2023-06-21,"The content is mindless but I keep watching, and the ads between every reel make it even more frustrating."
5Y31K88NO,"3,129","1,276",2016-11-02,Why can't I customize the bottom bar icons? Let me pick what I want there.
SG6A8MLIK,"3,827","1,840",2025-12-31,The transition from content to ad is seamless which makes it MORE annoying not less
ZREZRDYXY,83,"1,688",2025-09-20,I keep getting followed by bot accounts and there's no easy way to mass block them
MKU1GPT49,"47,915","1,033",2022-08-09,My engagement rate dropped to nothing after they changed the algorithm again
QIMQODPXN,21,"1,348",2019-01-27,Instagram is genuinely my go-to for food and travel inspiration. Content is great.
2GJR81BMQ,"5,684","1,118",2023-04-30,Promoted reels are now half my reel feed. The other half is suggested content. Zero friends.
ADHF025LO,"3,936","1,204",2021-09-23,I used to post photos. Now I just consume garbage reels all day.
HLLSHWA7S,"1,55,131","1,888",2016-03-07,"I wouldn't mind ads if there were like 3 per session, not 30."
5H0JHK0I7,317,204,2024-06-04,The content scheduling tool is unreliable. Posts don't go up at the scheduled time.
4LDIMSYJ9,58,"1,196",2023-05-05,Do they even test the ad load? Because it feels like nobody is checking this.
5S6Y5H3O0,"1,188","1,397",2019-06-08,Love the vanish mode in DMs. Smart privacy feature.
GF309HSUW,"1,254",575,2016-01-05,the way ads interrupt mid-reel now is actually hostile UX design
8LIUQDN05,195,"1,547",2024-09-05,Getting constant login verification prompts even though nothing changed on my end
AMVNCZTZO,651,496,2024-06-08,The search function is broken. I type exact usernames and they don't show up.
G77Q9VJUH,85,94,2019-01-15,My stories views dropped from 500 to 50 overnight. Clearly some shadow ban going on.
QFMUIW7J3,"1,08,134",707,2018-08-10,My screen time report is embarrassing because of this app alone
EJI4P0E4Y,"23,010",816,2020-06-19,Influencer ads + regular ads = my feed is 60% advertising at this point
OTESU2HTT,"98,167",815,2016-10-04,Reels are a time black hole AND now they're putting ads in between them? Double whammy.
NG806W819,"66,517",554,2018-03-15,Really enjoy the throwback memories feature. Brings up great old posts.
9EL8HL88K,268,"1,687",2016-10-17,bro this app is genuinely ruining my sleep schedule
IA38K0HF3,403,914,2020-07-04,Why is every other post a random reel I didn't ask for? Give me back my feed.
3RTZ5TV6G,56,"1,780",2020-12-09,Getting tired of seeing crypto and gambling ads every other scroll
EGI3QUPXB,"59,479",630,2024-12-13,The app is using way too much battery and data in the background
W48TP37V7,537,"1,913",2023-09-13,There's zero substance anymore. Just people doing dances and pointing at text.
7BFXQ7BZE,63,254,2024-06-11,Love using this app to stay connected with friends and family across the world!
TCAGRP2U4,"1,682","1,707",2016-09-05,The dopamine hit from scrolling is real. I need to seriously cut down.
N98X16F4Z,685,"1,784",2018-08-17,This app is like junk food for my brain. Empty calories everywhere.
48WUMH9NK,98,"1,985",2023-08-18,I recognize I'm addicted and the ads make me feel worse about all the time I waste here
9TOQW9JA2,310,"1,667",2019-06-14,Really wish there was an ad-free tier. Would pay for it without hesitation.
UO874OHL5,"1,718",831,2025-01-30,"Instagram support is nonexistent. No email, no phone, no human to talk to."
HSZNVP8GM,427,"1,376",2022-03-17,I literally spend 4 hours a day on this app and at least 1 hour of that is just watching ads
FU8IOGXPB,125,289,2020-07-21,Follower count keeps fluctuating randomly. Losing and gaining 100s overnight.
DBK4EPBO0,"12,939",714,2019-10-27,The amount of recycled content is insane. Same video from 10 different accounts.
83XPHX2KB,373,"1,606",2021-07-08,mindless scrolling + ad overload = Instagram in 2025. still here though somehow.
8VMUHXID4,"32,500","1,486",2018-08-11,Stop moving buttons around every update. My muscle memory is destroyed.
6FLVYWAPK,"15,525","1,168",2021-01-04,It's all engagement bait and rage bait now. Quality has completely tanked.
4X13QINF2,171,508,2023-11-12,"The notification badges are inconsistent. Sometimes they show, sometimes they don't."
ZUNQ2W9ZL,"4,249","1,455",2025-03-31,Hooked on the content but drowning in ads. It's like eating your favorite food but it's 40% packaging.
XQJ7DPFSS,454,830,2025-01-14,When is dark mode coming for the DM screen? The white background at night is blinding.
WWO8NBHNA,"15,483",642,2020-06-06,The fact that there's no 'show fewer ads' option is a deliberate choice and it sucks.
MKSLIZ63I,350,214,2018-10-06,"I waste so much time here because the algorithm is too good, but the constant ads make it even worse."
VOKQY9FLV,"18,447","1,505",2016-05-05,Every time I open IG I lose track of time completely. It's becoming a real problem.
R1SPPN74P,"31,793","1,141",2019-07-12,Ads are now auto-playing with sound in my feed. Who approved this?
ELTFEBE54,285,177,2021-12-15,Love how easy it is to create and share highlight reels from stories
G1CJ8PMOZ,"45,543","1,583",2022-08-25,I'm on this app way too much and the ads are making the experience worse during all that time I waste.
RML29Q2L4,93,590,2017-03-24,The marketplace-ification of Instagram is complete. It's just an ad delivery machine.
ZJ22PMB6X,65,411,2016-11-04,Can't stop scrolling even though every other post is an ad. It's like being trapped in a commercial loop.
7YURNZP1O,"17,267",878,2021-07-15,The DM experience is really solid. Use it more than texting at this point.
Q6PE2FDZL,282,"1,770",2024-08-22,The report system doesn't work. I've reported harassment and nothing happens.
LED1LG8Y2,"58,178","1,652",2017-12-12,I think Instagram shows me more ads than Google does across all its products combined.
8C1CQG433,"8,784",211,2021-11-04,I can't stop and there are too many ads. Those are my two bugs. Both are features apparently.
ME9WT00IV,"2,842",223,2019-02-13,This app has a hold on me but the sponsored content is getting unbearable
WCOQ5LDL7,"10,282",127,2016-04-29,"I hate that I can't stop using this app, and I hate that every 3rd thing is a sponsored post."
JRJ9R3VP8,204,316,2023-05-04,The quality of content creators has gone way down. Everyone's chasing viral moments.
DW2PCN9T8,"1,175","1,402",2024-03-01,Why can't I download my own content easily? It's MY content.
0SZORK64M,456,268,2024-11-20,I used to recommend this app. now I warn people about the ad situation.
4SE2KYT5G,"3,269","1,994",2016-01-21,The share button location change is a really dumb design choice
JKMPLBBB0,276,745,2018-08-16,The ad experience has gone from mildly annoying to genuinely hostile.
S6TO8WYAQ,197,951,2019-02-26,Switching between accounts is buggier than ever. Takes multiple taps now.
TRP0J43D5,"4,449",818,2023-11-29,The native ads blending into my feed make me trust organic posts less too.
FNHP39LQT,694,"1,871",2025-08-12,The new camera UI is worse than the old one in every way
5Q3OV9JYD,"2,523","1,970",2025-11-27,My reach has dropped 80% in the last 6 months. Something is wrong with the algorithm.
UO4G4IQ9E,"79,775","1,693",2018-03-21,ngl the ads have gotten so frequent I'm spending less time on the app now
BP9VRNEGN,469,"1,521",2024-08-04,"Between the time I waste and the ads I'm forced to watch, Instagram is basically a net negative in my life"
MLZ6IOSTU,331,"1,854",2018-11-01,The video calling feature is surprisingly good quality. Use it all the time.
X3F2XHDCV,"67,981","1,731",2019-10-05,Everything in my explore is brain rot content. I miss the old Instagram.
0D2AOBLJ0,282,57,2017-01-04,Please bring back the ability to reorganize my profile grid
NS832EJX5,294,"1,327",2019-11-15,Can we get the chronological feed back as default? The algorithm sorting is annoying.
T67K37FOQ,"16,857","1,653",2021-05-09,The promoted reels are indistinguishable from regular ones on purpose.
1WKISETUK,477,816,2016-07-22,The app permissions are way too invasive for a photo sharing platform
O17RV2Y7C,"11,600",987,2023-09-15,The gradient on the stories ring changed and it looks cheap
JV84A1X7O,"72,121",706,2019-06-23,The scheduling feature for posts is a game changer for content creators
5EQY08P0F,"29,039",962,2024-03-20,The sponsored content frequency on this platform is genuinely excessive now.
YIX79PBRT,163,55,2021-12-01,Hashtags seem completely broken. Posts with relevant hashtags get zero reach.
6SIF6DOHE,"15,423",116,2022-03-21,The new navigation is confusing. I keep tapping the wrong things.
PDTZ91X70,322,357,2017-11-07,Why did they remove the swipe to go back gesture? So frustrating.
P7Y6WKTAK,218,628,2025-01-17,The professional dashboard for creators is really well designed
9SKDGIGAT,359,173,2017-12-27,The stories bar takes up too much screen real estate on smaller phones
OKPK7YSWN,"36,670","1,895",2025-05-16,Why am I seeing ads for things I already purchased last week? Fix the algorithm.
KJFCLCCR9,488,705,2021-06-16,The app is super addictive AND full of ads. I scroll for hours but half of what I see is sponsored.
XVI673KLL,"1,306",531,2023-01-31,I've been served more ads today than actual posts from people I follow.
2MOYQJ3IZ,387,189,2025-03-02,So tired of seeing the same sponsored reel over and over and over.
LR8Z101JD,429,568,2017-05-31,The video quality when uploading Reels is terrible compared to what I recorded
S52SQ3B9S,"9,663",628,2021-03-29,The new layout makes no sense. Why is the create button where the activity tab was?
45BG34IQ7,311,122,2024-08-21,Can't even watch 3 reels without an ad popping up. Getting old fast.
B8IY525FN,"1,340",949,2020-10-27,I don't mind a few ads but this is getting predatory with the frequency.
SLWF90KM3,430,804,2021-03-28,The haptic feedback on likes feels weird since the last update
J9HVCHRM3,352,156,2016-03-24,Instagram's ad load makes Facebook look restrained by comparison.
EXPFSLTJ6,617,"1,233",2019-04-18,Why are there ads in my DM suggestions now too? Is nothing sacred?
NUKONDHKB,"3,490",289,2020-07-05,Why are my DMs not sending? The app shows 'sending' for hours.
OX5FL2MOX,"1,486","1,193",2019-08-19,I wish I could quit but the algorithm knows exactly what to show me. Also way too many ads.
I4K5OGZ2U,"2,410",63,2018-01-27,Seeing sponsored content from MLM schemes daily. Do they even vet advertisers?
54PEGJKS4,"3,736",423,2019-08-02,Feels like they're testing how many ads users will tolerate before quitting.
EXF7JXJN6,120,724,2025-06-15,The ratio of ads to real content is worse than YouTube and that's saying a lot.
CD0RLEXDW,"29,091",198,2016-04-07,"Opened the app, saw 3 ads before a single friend's post. Closed the app."
YDBSIWFVI,"4,381",87,2016-12-04,My entire explore tab is basically a paid advertising board now.
S6AYLLD4Y,"44,704",553,2023-08-18,Instagram feels like a shopping mall disguised as a social app these days.
2AHNWGU9B,"13,100",125,2023-04-12,spending more time swiping past ads than actually enjoying content at this point
KX0RB5TNG,"19,093",738,2022-06-13,I swear the ads have doubled since last month. Way too aggressive.
TZK3NY9V2,"3,349",384,2020-05-31,The unskippable 15-second ads in reels are a dealbreaker for me.
LOPO6J0M3,"1,507","1,913",2020-07-28,Instagram clearly chose ad revenue over user satisfaction this quarter.
WC0BOGWHU,181,565,2021-08-17,Every time I open the app I count ads. Today's high score: 9 before a real post.
4AJMMUZUQ,"4,909",408,2018-05-13,Honestly the sponsored content ratio is out of control on this app.
7DIA5U6HC,"3,270",844,2017-07-17,"instagram's ad strategy seems to be 'show ads until users complain, then show more'"
ZG52KRE4V,"2,542",252,2021-05-09,the sponsored posts are multiplying like rabbits and it's getting worse every update
GBO06FHRX,"28,747","1,312",2025-12-24,"Ads inside the DM suggestions tab now? Come on Meta, have some limits."
KUDYZ3MQW,"16,415",104,2021-11-22,At what point does the ad density become an accessibility issue? We're close.
51V9NXMKT,"24,437","1,686",2017-03-09,i keep getting crypto scam ads that Instagram apparently verified as legit. yikes.
9M94UZXY4,48,"1,927",2018-02-02,Brands I blocked keep showing up as sponsored content. What's the point of blocking?
